Nome Location,Indirizzo,Comune / Zona,Categoria Crowdia,Stagionalità,Note Stato (Dic. 2025),website
Reloj Disco Club,"Via Pasquale Calvi, 3/5",Palermo (Centro),Big_Venue,Invernale,ATTIVO. Eventi Natale/Capodanno confermati.,
Country DiscoClub,"Viale dell'Olimpo, 3/5",Palermo (Nord),Big_Venue,Invernale/Estiva,ATTIVO. Special guest Andrea Oliva il 20/12.,
Mob Disco Theatre,"Via Fondo Crocco, 1",Carini (PA),Big_Venue,Invernale,ATTIVO. Focus Urban/Trap (Niky Savage il 20/12).,
I Candelai,"Via dei Candelai, 65",Palermo (Centro),Underground_Club,Invernale,ATTIVO. Sede storica Popshock.,https://www.candelai.it/event/
Hype Club,Viale Strasburgo,Palermo (Stadio),Underground_Club,Invernale,ATTIVO. Serate Techno (Underworld/Groovi).,
Shazam Club,Area Centro,Palermo (Centro),Underground_Club,Invernale,ATTIVO. Molto popolare per target universitario.,
Kalhesa,"Foro Italico Umberto I, 21",Palermo (Porto),Social_Hub,Invernale/Estiva,ATTIVO. Eventi Natale e Capodanno in vendita.,
La Cavallerizza,Centro Storico,Palermo (Centro),Social_Hub,Invernale,"ATTIVO. Eventi ""Acchiana"" e Capodanno 2026.",
PunkFunk,Centro Storico,Palermo (Centro),Underground_Club,Invernale,ATTIVO. Weekend anniversario 19-21/12.,
Mind House,"Via San Lorenzo, 273/A",Palermo (Nord),Underground_Club,Invernale,ATTIVO. Techno e Gaming (Phantasya Project).,
Pay One,"Via dei Nebrodi, 55/A",Palermo (Nord),Big_Venue,Invernale,INCERTO. Nessuna attività rilevata da mag. 2023.,
Fabric Club House,"Via Ugo La Malfa, 95",Palermo (Nord),Big_Venue,Invernale,INCERTO. Venue citata ma senza ticket attivi.,
,,,,,,
Vanilla Club,"Via M. Buonarroti, 15",Palermo (Lazio),Big_Venue,Invernale,CHIUSO/SILENTE. Nessun evento rilevato.,
Malaluna,"Via Resurrezione, 82",Palermo (Nord),Big_Venue,Invernale,INCERTO. Solo riferimenti storici o privati.,
Bier Garten,"Viale Reg. Siciliana, 6469",Palermo (Nord),Social_Hub,Estiva,CHIUSO. Principalmente attivo in estate.,
L'Ombelico del Mondo,"Viale Regina Elena, 2",Mondello (PA),Summer_Exclusive,Estiva,CHIUSO. Riapertura prevista estate 2026.,
Solemar Club,"L.mare C. Colombo, 2109",Palermo (Addaura),Summer_Exclusive,Estiva,CHIUSO. Focus su pool party estivi.,
Sea Club,C/da Cala Rossa,Terrasini (PA),Summer_Exclusive,Estiva,CHIUSO. Venue top della provincia per l'estate.,
Maljk,L.mare G. Giardina,Cefalù (PA),Summer_Exclusive,Estiva,CHIUSO. Cruciale per turisti e stranieri.,
Lidò Addaura,"L.mare C. Colombo, 5191",Palermo (Addaura),Summer_Exclusive,Estiva,CHIUSO. Attivo per dj set fronte mare.,
Caporama Discoclub,Piazza XXIII Maggio,Capaci (PA),Summer_Exclusive,Estiva,CHIUSO. Grande spazio all'aperto.,
BiBi Summer Club,"Via Faggio, 79",Carini (PA),Summer_Exclusive,Estiva,CHIUSO. Target locale provincia.,
Marrakech,"Via C. Colombo, 100",Carini (PA),Summer_Exclusive,Estiva,CHIUSO. Clubbing sulla spiaggia.,
Curaçao Beach Club,C/da Torre Pozzillo,Cinisi (PA),Summer_Exclusive,Estiva,CHIUSO. Specializzato in tramonti/disco.,
Berlin Cafè,Via I. La Lumia,Palermo (Libertà),Social_Hub,Invernale,ATTIVO. Lounge bar con dj set serale.,
Officina di Dio,"Via G.P. Bertolino, 25/27",Palermo (Centro),Social_Hub,Invernale,ATTIVO. Industrial style con live e dj set.,
Bolazzi,Piazzetta Bagnasco,Palermo (Centro),Social_Hub,Invernale,ATTIVO. Target Rock/Indie/Jazz.,
Ostello Bello,"Via Galileo Ferraris, 3",Palermo (Centro),Social_Hub,Invernale,"ATTIVO. Eventi quotidiani, target internazionale.",
Miles Jazz Club,"Via Enrico Albanese, 5",Palermo (Centro),Social_Hub,Invernale,ATTIVO. Focus musica live e jazz.,